topic,category,topic_label,negative_count,avg_intensity,avg_impact,avg_product,priority_score,impact3_count,example_id,evidence,suggestion
content_direction,玩法体验,模式/内容方向,9,2.333,1.111,2.6666666666666665,24,0,appstore-cn-14528915163,已经完全没有了刺激地图越变越垃圾，我原本是想一直玩蛋仔的还有bug特别多，又是闪退,归类地图/模式方向与闪退反馈，核对近期地图改动及崩溃日志，并收集玩家对刺激感的意见。
gacha_rewards,付费体验,抽取概率/奖励福利,14,1.643,0.929,1.7142857142857142,24,0,appstore-cn-14531542916,"圈钱，控票，还有服务器问题
官方很圈钱啊，我玩了3年了，一开始那些福利什么签到送彩虹币，登录送彩虹币，服务器有问题也会给玩家满意的答复还有补偿，现在呢？奖池越来越多了，去年还出一个翅膀，我们0氪都以为只需要潮流纤维就可以了，但是升完第二级就要钱了，那升到满级是不是要花几百才可以，甚至想要搞出一套的要一千，还出什么惊魂夜赛季，那个破投票就是控票的，虽然海瑟人气很高，我都投的佩姬，但是那个新角色还没出呢哪来的2000w票，你自己说说看，这对吗？选角我认为就是内定，官方要出这个赛季早就把皮肤模型做好了才让我们投票，然后控票还能让玩家活跃度变高，还有那个捣蛋鬼，搞什么爆破行刑管家，不就惊魂夜角色吗？捣蛋鬼比赛也只有过一次吧，角色越出越多了，想玩固定角色，开房间进来好多小学生，官方你真的无敌了",核实翅膀升级与奖池的实际付费成本，审查惊魂夜投票数据与角色上线流程，并收集捣蛋鬼模式匹配体验。
storage,性能优化,安装包/存储占用,9,1.778,1.444,2.5555555555555554,23,1,appstore-cn-14517193944,太占内存了，只有五十多的内存，还不能下载,收集机型与剩余存储数据，核实安装包大小及安装所需空间，评估存储占用优化方案。
payment,付费体验,支付/到账异常,4,1.75,2.0,4.25,17,2,appstore-cn-14539989125,玩游戏1、逃出惊魂夜我们逃生赢了还把我分减了！我一看好家伙对面克金！,核查该玩家逃出惊魂夜对局结算与被举报记录，确认是否存在付费关联误判。
gameplay_other,玩法体验,其他玩法体验,7,1.714,1.286,2.2857142857142856,16,0,appstore-cn-14536400772,疯狂乱斗能不能不设置时间限制，好不容易能玩一会，结果疯狂乱斗没开，玩不了,核实疯狂乱斗开放时段的设计意图与玩家可玩时段分布，评估调整时间限制对模式参与度的影响。
moderation,社区生态,举报/审核/社区治理,4,2.25,1.75,4.0,16,0,appstore-cn-14532434075,"能不能管管你那破禁言机制
我和我朋友组队开麦你也要管 你这算窃取玩家隐私了吧 天天后台偷听 很有意思是不是 我和我朋友讲什么难道还会影响别人不成 凭什么禁言我？？？？！！！无语死了",核查组队语音触发禁言的规则与判定日志，确认是否存在误判；向玩家说明禁言依据及隐私数据处理方式。
price,付费体验,定价/付费设计,10,1.6,0.7,1.3,13,0,appstore-cn-14537047219,超人最近出了那个折扣的，然后再用体验卡那个折扣会失效,核实折扣与体验卡叠加规则，复现叠加使用时折扣是否异常失效，并向玩家说明正确使用方式。
visual_audio,视听表现,画面/建模/声音,3,1.667,1.333,2.3333333333333335,7,0,appstore-cn-14539514665,"我声音呢
来网易你告诉我这是什么我不会叫几个小时没打开手机吗？这都静音了",引导玩家提供机型、系统版本及音频设置截图，排查声音异常原因。
cheating,社区生态,外挂/作弊/违规行为,2,2.0,1.5,3.0,6,0,appstore-cn-14535650574,主要就是有骂人挂机的行为，希望网易可以管管这些蛋，还有外挂或bug，希望把危害游戏的bug修一下,核实挂机骂人及外挂举报样本与处理时效，同时排查被高频提及的高危bug。
events_updates,运营服务,活动/更新/内容节奏,1,3.0,2.0,6.0,6,0,appstore-cn-14517583336,能给一点那种自选礼包吗？在商城里可以卖得贵一点，但是我就是想要可以吗？现在有人退游了，我想让他们回来，原因是他们想要哈基米和夜煞还有曲的那些大佬换了个手机就没法跟他玩了，能让东东羊返厂吗？还有魔法衣柜。不返厂我退游。,梳理玩家对返场呼声较高的皮肤清单，核实卡门扔人与挂机现象；以官方渠道说明返场与商城规划，不承诺具体日期。
content_compliance,运营服务,联动/IP/内容合规争议,12,1.917,0.0,0.0,0,0,appstore-cn-14542851876,抄袭很多游戏😓,核实玩家所指的抄袭指控，梳理相关争议点并评估是否需要公开回应。
other,其他,其他/信息不足,13,2.077,0.0,0.0,0,0,appstore-cn-14543350587,烂 再也不会下载😂,结合该玩家其他反馈核实具体不满原因，避免仅凭单条差评推断。
